"aicc","model"
2273.33148678867,"(2,0,2)(3,3,0)[12]"
2273.41284528535,"(3,0,1)(3,3,0)[12]"
2273.41828554791,"(0,1,1)(3,3,0)[12]"
2273.74480145746,"(2,2,0)(0,3,3)[12]"
2273.94850364028,"(4,1,0)(1,3,1)[12]"
2274.18694895022,"(0,1,3)(3,3,0)[12]"
2274.72608251415,"(0,2,1)(4,3,0)[12]"
2275.3007488754,"(0,0,4)(3,3,0)[12]"
2275.41400381527,"(0,0,3)(3,3,0)[12]"
2275.66042823914,"(1,1,2)(3,3,0)[12]"
2275.83153558371,"(2,2,0)(1,3,2)[12]"
2275.92694086017,"(2,2,0)(0,3,4)[12]"
2276.06066308725,"(2,1,2)(3,3,0)[12]"
2276.20483886782,"(2,2,0)(1,3,3)[12]"
2276.23454607838,"(0,1,4)(3,3,0)[12]"
2276.29899765483,"(3,1,1)(3,3,0)[12]"
2276.3979388901,"(1,1,3)(3,3,0)[12]"
2276.99494347615,"(2,2,0)(2,3,2)[12]"
2277.07537701763,"(0,0,2)(3,3,0)[12]"
2277.65851370548,"(4,2,0)(0,3,2)[12]"
2277.92894871926,"(2,2,0)(1,3,4)[12]"
2278.08944144943,"(2,2,0)(0,3,5)[12]"
2278.34884808592,"(2,2,0)(3,3,2)[12]"
2278.42754923589,"(2,2,0)(2,3,3)[12]"
2278.79190334351,"(3,2,0)(3,3,1)[12]"
2279.19946913556,"(0,0,1)(4,3,0)[12]"
2279.5966640233,"(3,1,0)(3,3,0)[12]"
2279.84694042046,"(4,1,0)(3,3,0)[12]"
2280.02062345193,"(2,1,0)(3,3,0)[12]"
2280.26297654998,"(4,2,0)(2,3,1)[12]"
2280.50587043337,"(0,1,0)(1,3,1)[12]"
2280.86473274717,"(2,2,0)(4,3,1)[12]"
2281.68024458407,"(0,0,1)(1,3,1)[12]"
2281.72290961945,"(1,2,3)(2,3,0)[12]"
2282.54887964088,"(3,2,0)(2,3,1)[12]"
2282.58949710249,"(1,1,0)(3,3,0)[12]"
2282.69127517958,"(0,2,3)(2,3,0)[12]"
2282.73852698988,"(0,2,1)(3,3,0)[12]"
2283.07703690705,"(3,2,0)(0,3,2)[12]"
2283.30705517662,"(0,2,2)(2,3,0)[12]"
2283.67866653628,"(2,2,2)(2,3,0)[12]"
2283.76276705224,"(0,2,4)(2,3,0)[12]"
2283.92312666732,"(3,2,2)(2,3,0)[12]"
2284.2692423177,"(5,2,0)(1,3,1)[12]"
2284.61848436553,"(0,0,0)(2,3,2)[12]"
